"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","OpenCart 接口测试","0","商品浏览接口","1","0","搜索商品","0"
"0","","0","购物车接口","1","0","获取购物车","0"
"0","","0","购物车接口","4","0","加购","0"
"0","","0","商品浏览接口","2","0","商品详情","0"
"0","","0","商品浏览接口","1","0","商品列表","0"
"0","","0","商品浏览接口","2","0","搜索商品","0"
"0","OpenCart 接口测试","0","购物车接口","1","0","获取购物车","0"
"0","OpenCart 接口测试","0","商品浏览接口","1","0","商品详情","0"
"0","OpenCart 接口测试","0","商品浏览接口","1","0","商品列表","0"
"0","OpenCart 接口测试","0","结算接口","0","2","结算","0"
"0","OpenCart 接口测试","0","购物车接口","1","0","加购","0"
