"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","476","TC-API-PROD-006: 搜索有效关键词","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"未登录状态下获取购物车，验证返回空购物车提示","532","TC-API-CART-007: 获取购物车（未登录）","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"传入数量=-5，验证系统行为（已记录为Bug）","159","TC-API-CART-005: 加购数量为负数","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"传入无效商品ID=999，验证返回404或空内容","365","TC-API-PROD-002: 查询不存在的商品","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"未登录状态下加购，验证访客可加购","138","TC-API-CART-002: 未登录加购","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"不传product_id参数，验证返回404或提示信息","313","TC-API-PROD-003: 缺少product_id参数","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"传入无效商品ID=999，验证返回错误提示","125","TC-API-CART-003: 加购不存在的商品","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"传入无效分类ID=999，验证返回404或空内容","364","TC-API-PROD-005: 查询不存在分类","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"搜索关键词'xyzabc123'，验证返回无结果提示","648","TC-API-PROD-007: 搜索不存在关键词","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"","623","TC-API-CART-006: 获取购物车（已登录）","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"","377","TC-API-PROD-001: 查询有效商品详情","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"","474","TC-API-PROD-004: 查询有效分类商品列表","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"搜索关键词为空，验证返回全部商品或提示信息","540","TC-API-PROD-008: 空关键词搜索","tests","2026-07-27","passed","2026-07-27","TestProductAPI","test_product","",""
"","0","TC-API-CART-008: 正常结算","tests","2026-07-27","skipped","2026-07-27","TestCheckoutAPI","test_checkout","",""
"传入数量=0，验证系统行为（已记录为Bug）","131","TC-API-CART-004: 加购数量为0","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"","335","TC-API-CART-001: 正常加购","tests","2026-07-27","passed","2026-07-27","TestCartAPI","test_cart","",""
"","0","TC-API-CART-009: 地址不完整结算","tests","2026-07-27","skipped","2026-07-27","TestCheckoutAPI","test_checkout","",""
